date,type,opening_balance,customer_payments_in,supplier_payments,payroll,rent,utilities,loan_emi,other_expenses,closing_balance
2026-03-05,historical,100000.0,10993.43,0.0,0.0,0.0,3000.0,0.0,472.35,107521.08
2026-03-06,historical,107521.08,2111.62,0.0,0.0,0.0,0.0,0.0,702.1,108930.59
2026-03-07,historical,108930.59,2530.53,0.0,0.0,0.0,0.0,0.0,608.51,110852.61
2026-03-08,historical,110852.61,387.45,0.0,0.0,0.0,0.0,0.0,690.07,110549.99
2026-03-09,historical,110549.99,8183.95,0.0,0.0,0.0,0.0,0.0,217.54,118516.4
2026-03-10,historical,118516.4,35907.44,0.0,0.0,0.0,0.0,12000.0,379.87,142043.97
2026-03-11,historical,142043.97,9416.61,29973.01,0.0,0.0,0.0,0.0,288.46,121199.12
2026-03-12,historical,121199.12,11645.09,0.0,0.0,0.0,0.0,0.0,255.83,132588.38
2026-03-13,historical,132588.38,2087.46,0.0,0.0,0.0,0.0,0.0,676.35,133999.48
2026-03-14,historical,133999.48,2884.35,0.0,0.0,0.0,0.0,0.0,439.78,136444.05
2026-03-15,historical,136444.05,330.66,0.0,25000.0,0.0,0.0,0.0,323.88,111450.83
2026-03-16,historical,111450.83,29869.51,0.0,0.0,0.0,0.0,0.0,678.87,140641.48
2026-03-17,historical,140641.48,29831.56,0.0,0.0,0.0,0.0,0.0,438.16,170034.88
2026-03-18,historical,170034.88,9041.65,29628.68,0.0,0.0,0.0,0.0,662.51,148785.34
2026-03-19,historical,148785.34,12712.48,0.0,0.0,0.0,0.0,0.0,694.59,160803.23
2026-03-20,historical,160803.23,11591.19,0.0,0.0,0.0,0.0,0.0,0.0,172394.42
2026-03-21,historical,172394.42,20984.4,0.0,0.0,0.0,0.0,0.0,708.5,192670.32
2026-03-22,historical,192670.32,2465.58,0.0,0.0,0.0,0.0,0.0,200.99,194934.92
2026-03-23,historical,194934.92,8383.01,0.0,0.0,0.0,0.0,0.0,399.65,202918.28
2026-03-24,historical,202918.28,10514.23,0.0,0.0,0.0,0.0,0.0,562.9,212869.61
2026-03-25,historical,212869.61,8595.89,29344.68,0.0,0.0,0.0,0.0,559.22,191561.61
2026-03-26,historical,191561.61,25211.76,0.0,0.0,0.0,0.0,0.0,569.1,216204.26
2026-03-27,historical,216204.26,10905.87,0.0,0.0,0.0,0.0,0.0,466.79,226643.35
2026-03-28,historical,226643.35,3257.55,0.0,0.0,0.0,0.0,0.0,485.11,229415.79
2026-03-29,historical,229415.79,19942.3,0.0,0.0,0.0,0.0,0.0,461.53,248896.56
2026-03-30,historical,248896.56,10603.09,0.0,0.0,0.0,0.0,0.0,653.46,258846.19
2026-03-31,historical,258846.19,7700.41,0.0,0.0,0.0,0.0,0.0,780.56,265766.05
2026-04-01,historical,265766.05,7196.3,28018.93,25000.0,15000.0,0.0,0.0,386.74,204556.68
2026-04-02,historical,204556.68,2039.86,0.0,0.0,0.0,0.0,0.0,399.3,206197.23
2026-04-03,historical,206197.23,11298.17,0.0,0.0,0.0,0.0,0.0,255.43,217239.98
2026-04-04,historical,217239.98,2216.75,0.0,0.0,0.0,0.0,0.0,435.59,219021.14
2026-04-05,historical,219021.14,4043.86,0.0,0.0,0.0,3000.0,0.0,605.29,219459.71
2026-04-06,historical,219459.71,10519.77,0.0,0.0,0.0,0.0,0.0,656.36,229323.11
2026-04-07,historical,229323.11,33669.42,0.0,0.0,0.0,0.0,0.0,558.61,262433.92
2026-04-08,historical,262433.92,28920.96,27566.29,0.0,0.0,0.0,0.0,261.74,263526.85
2026-04-09,historical,263526.85,11313.11,0.0,0.0,0.0,0.0,0.0,654.0,274185.97
2026-04-10,historical,274185.97,12536.78,0.0,0.0,0.0,0.0,12000.0,450.92,274271.82
2026-04-11,historical,274271.82,2246.26,0.0,0.0,0.0,0.0,0.0,675.73,275842.35
2026-04-12,historical,275842.35,2760.41,0.0,0.0,0.0,0.0,0.0,447.07,278155.69
2026-04-13,historical,278155.69,15440.34,0.0,0.0,0.0,0.0,0.0,508.4,293087.63
2026-04-14,historical,293087.63,9725.46,0.0,0.0,0.0,0.0,0.0,455.31,302357.78
2026-04-15,historical,302357.78,31179.74,31480.68,25000.0,0.0,0.0,0.0,330.64,276726.19
2026-04-16,historical,276726.19,6970.31,0.0,0.0,0.0,0.0,0.0,642.02,283054.48
2026-04-17,historical,283054.48,10184.96,0.0,0.0,0.0,0.0,0.0,511.64,292727.79
2026-04-18,historical,292727.79,1857.03,0.0,0.0,0.0,0.0,0.0,308.2,294276.62
2026-04-19,historical,294276.62,4382.0,0.0,0.0,0.0,0.0,0.0,603.01,298055.62
2026-04-20,historical,298055.62,17705.46,0.0,0.0,0.0,0.0,0.0,546.46,315214.62
2026-04-21,historical,315214.62,10352.36,0.0,0.0,0.0,0.0,0.0,402.93,325164.06
2026-04-22,historical,325164.06,10163.75,31372.52,0.0,0.0,0.0,0.0,177.46,303777.83
2026-04-23,historical,303777.83,9056.14,0.0,0.0,0.0,0.0,0.0,717.79,312116.17
2026-04-24,historical,312116.17,5711.48,0.0,0.0,0.0,0.0,0.0,928.79,316898.87
2026-04-25,historical,316898.87,3633.92,0.0,0.0,0.0,0.0,0.0,709.6,319823.18
2026-04-26,historical,319823.18,2371.43,0.0,0.0,0.0,0.0,0.0,601.0,321593.62
2026-04-27,historical,321593.62,11731.51,0.0,0.0,0.0,0.0,0.0,563.55,332761.57
